,class,firstutterance,noun,nounGerman,nounclass,predicate,predicateGerman,response,slide_number,language,age,gender,education,comments,Browser,OS,screenH,screenW,time_in_minutes,participant_id,asses
0,nationality,ist ,cheese,K&auml;se,food,French,franz&ouml;sisch,0.33,3,,,,-1,"GREG0
",Safari,Mac,900,1440,0.18823333333333334,1,
1,age,ist nicht,TV,Fernsehen,furniture,new,neu,0.62,4,,,,-1,"GREG0
",Safari,Mac,900,1440,0.18823333333333334,1,
2,age,ist nicht,tomato,Tomate,food,old,alt,0.31,5,,,,-1,"GREG0
",Safari,Mac,900,1440,0.18823333333333334,1,
0,size,ist nicht,chair,Stuhl,furniture,long,lang,0.43,3,,,,-1,GREG1,Safari,Mac,900,1440,0.16768333333333332,2,
1,color,ist ,fan,Ventilator,furniture,green,gr&uuml;n,0.54,4,,,,-1,GREG1,Safari,Mac,900,1440,0.16768333333333332,2,
0,nationality,ist ,banana,Banane,food,French,franz&ouml;sisch,0.04,3,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
1,texture,ist nicht,cheese,K&auml;se,food,soft,weich,0.97,4,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
2,nationality,ist nicht,fan,Ventilator,furniture,American,americanisch,0.04,5,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
3,nationality,ist nicht,cheese,K&auml;se,food,German,deutsch,0.0,6,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
4,color,ist ,carrot,Karotte,food,red,rot,0.93,7,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
5,shape,ist nicht,banana,Banane,food,round,rund,0.97,8,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
6,size,ist ,tomato,Tomate,food,short,kurz,0.96,9,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
7,size,ist ,cheese,K&auml;se,food,big,gro&szlig;,0.97,10,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
8,color,ist nicht,banana,Banane,food,blue,blau,0.01,11,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
9,quality,ist nicht,banana,Banane,food,good,gut,0.99,12,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
10,color,ist ,cheese,K&auml;se,food,yellow,gelb,0.96,13,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
11,quality,ist ,TV,Fernsehen,furniture,bad,schlecht,0.94,14,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
12,shape,ist ,TV,Fernsehen,furniture,square,quadratisch,0.06,15,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
13,color,ist nicht,carrot,Karotte,food,brown,braun,0.96,16,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
14,size,ist ,tomato,Tomate,food,small,klein,0.97,17,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
15,texture,ist nicht,TV,Fernsehen,furniture,hard,hart,0.03,18,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
16,color,ist ,fan,Ventilator,furniture,purple,purpur,0.97,19,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
17,age,ist nicht,cheese,K&auml;se,food,rotten,faul,0.95,20,deutsch,55,Female,3,,Firefox,Windows,864,1536,4.537483333333333,3,Yes
